X,Y,D
P-32701,P-32741,0.005896515609077912
P-32701,P-32801,0.0030984616169129056
P-32701,P-3285,0.012041549452492868
P-32701,P-3286,0.0399123087565589
P-32701,P-32881,0.036804739873808306
P-32701,P-3290,0.00952174022176369
P-32701,P-3292,0.007810875948006946
P-32701,P-3294,0.016909335307791068
P-32701,P-32951,0.025126549413803958
P-32701,P-32971,0.07052852076613839
P-32701,P-3298,0.026989990919425094
P-32701,P-33131,0.0049624715966515315
P-32701,P-33132,0.005545136406472633
P-32701,P-3322,0.09730632341450922
P-32701,P-3324,0.00733096240937783
P-32701,P-3326,0.004205348647826455
P-32701,P-3328,0.027517153458303526
P-32701,P-3429,0.011576984250003657
P-32701,P-34291,0.004929089398212211
P-32701,P-3430,0.01636299034274818
P-32701,P-3431,0.09581431288437223
P-32741,P-32801,0.01754119097551354
P-32741,P-3285,0.006323226739643149
P-32741,P-3286,0.0247294553494207
P-32741,P-32881,0.02329083610029571
P-32741,P-3290,5.172286628586779e-4
P-32741,P-3292,0.014092611269872296
P-32741,P-3294,0.0031127473103991147
P-32741,P-32951,0.007972345487700854
P-32741,P-32971,0.0354829675227318
P-32741,P-3298,0.05113352985942543
P-32741,P-33131,0.018451444161095322
P-32741,P-33132,1.2634499803627626e-4
P-32741,P-3322,0.05522539576581524
P-32741,P-3324,0.025776172220839638
P-32741,P-3326,0.0011597824812283972
P-32741,P-3328,0.019398529056807626
P-32741,P-3429,9.472891279750559e-4
P-32741,P-34291,0.01581897791399245
P-32741,P-3430,0.0042423504629846166
P-32741,P-3431,0.06727643012789493
P-32801,P-3285,0.024506294455579627
P-32801,P-3286,0.06007894147856969
P-32801,P-32881,0.05573597117530381
P-32801,P-3290,0.023309253083802717
P-32801,P-3292,0.00956321445458301
P-32801,P-3294,0.034597748134054605
P-32801,P-32951,0.04563403170856413
P-32801,P-32971,0.10392831845856787
P-32801,P-3298,0.01569760125472123
P-32801,P-33131,0.002008360340655688
P-32801,P-33132,0.016711734509563404
P-32801,P-3322,0.13618876450713835
P-32801,P-3324,0.0017906174816082468
P-32801,P-3326,0.014117275174344546
P-32801,P-3328,0.04243083216669288
P-32801,P-3429,0.026658504628946724
P-32801,P-34291,0.005187875979721266
P-32801,P-3430,0.03316866986267129
P-32801,P-3431,0.12664427794062244
P-3285,P-3286,0.008087556282447506
P-3285,P-32881,0.006764242435250726
P-3285,P-3290,0.008551059531610025
P-3285,P-3292,0.03429519196521114
P-3285,P-3294,0.006039391611867529
P-3285,P-32951,0.006267685628672645
P-3285,P-32971,0.03877721794017924
P-3285,P-3298,0.07529272223602745
P-3285,P-33131,0.032499781353856276
P-3285,P-33132,0.008160782157270122
P-3285,P-3322,0.05550445121779014
P-3285,P-3324,0.02731976472133583
P-3285,P-3326,0.0028980919417856852
P-3285,P-3328,0.0037238370443193917
P-3285,P-3429,0.007613952878093766
P-3285,P-34291,0.01197948904205478
P-3285,P-3430,0.002532573252340244
P-3285,P-3431,0.039816714006383036
P-3286,P-32881,1.1703608620678265e-4
P-3286,P-3290,0.025853451922515282
P-3286,P-3292,0.07413128083124321
P-3286,P-3294,0.015241061045056667
P-3286,P-32951,0.008932377256477126
P-3286,P-32971,0.031230455242446324
P-3286,P-3298,0.13316511439989576
P-3286,P-33131,0.0731574701281339
P-3286,P-33132,0.0283714308987525
P-3286,P-3322,0.03986076504528695
P-3286,P-3324,0.0617067214113875
P-3286,P-3326,0.019825038366612285
P-3286,P-3328,0.002138686400288385
P-3286,P-3429,0.022469244816087995
P-3286,P-34291,0.03567837583077531
P-3286,P-3430,0.009252937809485658
P-3286,P-3431,0.012095952929397755
P-32881,P-3290,0.0248326127842971
P-32881,P-3292,0.07081308728609415
P-32881,P-3294,0.01494723023665748
P-32881,P-32951,0.009157742357617921
P-32881,P-32971,0.033871582988492716
P-32881,P-3298,0.127221286286389
P-32881,P-33131,0.06887335632093262
P-32881,P-33132,0.02684662999057901
P-32881,P-3322,0.04349778360878639
P-32881,P-3324,0.05684491841299652
P-32881,P-3326,0.018035400101410824
P-32881,P-3328,0.0012569492987739087
P-32881,P-3429,0.02169129340232603
P-32881,P-34291,0.03196712199333428
P-32881,P-3430,0.008776346797257487
P-32881,P-3431,0.014184094725951432
P-3290,P-3292,0.0159672404860839
P-3290,P-3294,0.002022995560679206
P-3290,P-32951,0.00662166820660069
P-3290,P-32971,0.02885899939313449
P-3290,P-3298,0.05720940530902482
P-3290,P-33131,0.023034816558495104
P-3290,P-33132,5.427606334210537e-4
P-3290,P-3322,0.04719230331380618
P-3290,P-3324,0.0333169769970713
P-3290,P-3326,0.0030241393769113913
P-3290,P-3328,0.0222305735284206
P-3290,P-3429,1.8751913772223718e-4
P-3290,P-34291,0.022071685192006023
P-3290,P-3430,0.004197766360329337
P-3290,P-3431,0.06636870258069841
P-3292,P-3294,0.029263156000351943
P-3292,P-32951,0.042794609043908215
P-3292,P-32971,0.08346895593694285
P-3292,P-3298,0.0138792901507683
P-3292,P-33131,0.00361494700429775
P-3292,P-33132,0.011816449255131655
P-3292,P-3322,0.11392826433910995
P-3292,P-3324,0.019607974815484788
P-3292,P-3326,0.01735842913870455
P-3292,P-3328,0.06030853788711667
P-3292,P-3429,0.019620197654101897
P-3292,P-34291,0.023581764077713313
P-3292,P-3430,0.03379456890112256
P-3292,P-3431,0.1427727451464982
P-3294,P-32951,0.0013360329097575289
P-3294,P-32971,0.018404649721669
P-3294,P-3298,0.07961894982792053
P-3294,P-33131,0.03682066253370889
P-3294,P-33132,0.004034541217813202
P-3294,P-3322,0.03268711453676102
P-3294,P-3324,0.04406932038331991
P-3294,P-3326,0.004913346449913926
P-3294,P-3328,0.014898869627072354
P-3294,P-3429,9.86973875818883e-4
P-3294,P-34291,0.027450378312091128
P-3294,P-3430,9.583524024964337e-4
P-3294,P-3431,0.04590044087580539
P-32951,P-32971,0.013868425257944314
P-32951,P-3298,0.09991273271453044
P-32951,P-33131,0.05019612941700794
P-32951,P-33132,0.009665173724836983
P-32951,P-3322,0.02506845358099858
P-32951,P-3324,0.0542876329870728
P-32951,P-3326,0.008898641432294067
P-32951,P-3328,0.01097132183642793
P-32951,P-3429,0.004613450550667629
P-32951,P-34291,0.03343681739903365
P-32951,P-3430,0.0010568422201485028
P-32951,P-3431,0.031794869431820555
P-32971,P-3298,0.1670036395285978
P-32971,P-33131,0.104329452949563
P-32971,P-33132,0.037245603786163664
P-32971,P-3322,0.0023174656460271405
P-32971,P-3324,0.12089512876144588
P-32971,P-3326,0.04240161258156669
P-32971,P-3328,0.04336632077461225
P-32971,P-3429,0.024955032143860644
P-32971,P-34291,0.09026816945735834
P-32971,P-3430,0.022332432013041692
P-32971,P-3431,0.038596926885708795
P-3298,P-33131,0.008789956011119888
P-3298,P-33132,0.04755129778150839
P-3298,P-3322,0.20964543037775774
P-3298,P-3324,0.02164527681298885
P-3298,P-3326,0.05157296688384144
P-3298,P-3328,0.10810677818269768
P-3298,P-3429,0.06382593152620597
P-3298,P-34291,0.03861535868951372
P-3298,P-3430,0.08310815041090783
P-3298,P-3431,0.22627112243980557
P-33131,P-33132,0.016701474102755312
P-33131,P-3322,0.13773264923288414
P-33131,P-3324,0.007100915160666178
P-33131,P-3326,0.0177976255175266
P-33131,P-3328,0.055487122421434346
P-33131,P-3429,0.027027162522029816
P-33131,P-34291,0.012981566329928751
P-33131,P-3430,0.038109193442357345
P-33131,P-3431,0.1448037207392476
P-33132,P-3322,0.0576911590984556
P-33132,P-3324,0.02551023480053497
P-33132,P-3326,0.0017880900756693067
P-33132,P-3328,0.022610021660738062
P-33132,P-3429,0.0012272292525090742
P-33132,P-34291,0.016609989922045692
P-33132,P-3430,0.00572363483644389
P-33132,P-3431,0.07295435941992162
P-3322,P-3324,0.15434276648265982
P-3322,P-3326,0.06270609405573255
P-3322,P-3328,0.05635703380304452
P-3322,P-3429,0.04200112029933904
P-3322,P-34291,0.1176545856705207
P-3322,P-3430,0.03644467075592648
P-3322,P-3431,0.036899806879549524
P-3324,P-3326,0.01945351466325991
P-3324,P-3328,0.04207616095857716
P-3324,P-3429,0.03663797261885904
P-3324,P-34291,0.003556972296810821
P-3324,P-3430,0.04010392085734013
P-3324,P-3431,0.12823878039611014
P-3326,P-3328,0.01317918260669009
P-3326,P-3429,0.003345950428512214
P-3326,P-34291,0.00935822116612501
P-3326,P-3430,0.003982921258770659
P-3326,P-3431,0.06161741631434134
P-3328,P-3429,0.019929354417075138
P-3328,P-34291,0.021110176551130677
P-3328,P-3430,0.00830928505074031
P-3328,P-3431,0.02302120725638511
P-3429,P-34291,0.02373094402672022
P-3429,P-3430,0.0028825902575164535
P-3429,P-3431,0.05995535794618075
P-34291,P-3430,0.022572733128073327
P-34291,P-3431,0.08865543622958459
P-3430,P-3431,0.03776094234151524
